roomNum,firstName,lastName,phoneNum,dateStart,dateEnd,numGuests,isAvailable
<<<<<<< HEAD
21,Evan,Boyd,767-244-5369,12/9/22 8:42,3/12/22 1:28,4,TRUE
37,Rowan,Gonzales,838-432-8798,3/17/22 18:24,6/14/22 8:11,4,TRUE
35,Nehemiah,Fitzgerald,703-380-1420,10/29/22 14:30,2/2/22 19:08,3,TRUE
7,Caiden,Burns,273-455-5498,4/8/22 11:19,11/24/22 20:42,4,FALSE
1,Diego,Warren,441-526-4431,2/14/22 8:15,3/25/22 15:04,3,FALSE
23,Avery,Stevenson,954-126-9838,5/15/22 7:57,2/1/22 22:01,2,TRUE
13,Alejandro,Berry,384-079-8919,10/29/22 21:48,8/27/22 18:24,1,FALSE
46,Walker,Trujillo,664-296-8596,1/7/22 18:54,9/12/22 14:34,4,FALSE
11,Jaxton,Delgado,883-128-2713,8/27/22 1:29,8/1/22 16:35,4,TRUE
31,Zion,Logan,911-568-2488,10/9/22 11:42,3/16/22 14:39,4,TRUE
32,Nico,Reese,320-115-3302,5/11/22 13:23,3/26/22 16:45,2,FALSE
24,Paul,Blake,276-142-0495,9/28/22 20:16,1/26/22 18:32,0,FALSE
19,Beckham,Carr,340-447-0676,10/20/22 10:41,6/17/22 14:22,2,TRUE
48,Cyrus,Flores,136-575-1720,3/9/22 11:25,7/14/22 8:18,3,TRUE
18,Joseph,Ferguson,350-405-6901,12/26/22 11:52,7/8/22 2:40,2,FALSE
47,Andy,Dawson,378-632-1648,8/18/22 19:50,4/21/22 19:21,3,TRUE
36,Abel,Hines,987-355-8593,7/2/22 17:34,6/27/22 19:42,0,FALSE
39,Devin,Avila,604-280-4251,2/20/22 5:28,9/22/22 5:13,1,FALSE
2,Ronin,Baldwin,314-873-4615,5/21/22 19:52,11/24/22 12:08,2,FALSE
49,Eduardo,Knight,874-297-6300,12/12/22,9/6/22 5:57,4,FALSE
50,Matthew,Bowman,946-085-6712,3/18/22 1:53,5/1/22 20:56,1,FALSE
12,Kaison,Huang,673-502-7104,10/27/22 12:22,4/30/22 6:41,4,FALSE
14,Malakai,Griffin,486-033-8211,5/8/22 12:46,12/12/22,2,FALSE
45,Archer,Adams,459-271-9413,4/14/22 1:35,6/13/22 1:14,3,FALSE
3,Kane,Bates,726-639-8684,12/1/22 5:14,6/1/22 6:16,3,FALSE
41,Kade,Reed,261-657-3664,4/21/22 18:48,1/5/22 14:06,0,TRUE
27,Asher,Black,588-525-5160,6/15/22 12:23,8/30/22 23:10,4,TRUE
17,Wilder,Kim,769-541-7868,4/6/22 8:48,9/22/22 22:56,3,TRUE
40,Hayes,Kim,120-313-7600,6/18/22 8:17,3/28/22 5:10,3,FALSE
10,Brooks,Elliott,635-011-4629,2/11/22 18:09,1/18/22 7:10,4,FALSE
29,Ford,Schultz,553-956-9822,7/4/22 20:40,1/18/22 7:08,2,FALSE
20,Jesse,Carroll,693-254-1192,9/29/22 20:15,12/28/22 12:32,3,TRUE
15,Bryan,Sanders,127-340-8958,12/19/22 4:14,2/13/22 10:07,3,TRUE
30,Emmett,Brewer,485-404-1693,7/24/22 19:11,1/9/22 3:33,4,FALSE
42,Sebastian,Huang,127-865-6469,1/17/22 11:57,9/12/22 21:15,0,TRUE
